Date,Location,Population
1980-01,Canada,24345365
1980-04,Canada,24418295
1980-07,Canada,24515667
1980-10,Canada,24603534
1981-01,Canada,24665355
1981-04,Canada,24732826
1981-07,Canada,24819915
1981-10,Canada,24920120
1982-01,Canada,24979229
1982-04,Canada,25042069
1982-07,Canada,25116942
1982-10,Canada,25193538
1983-01,Canada,25242830
1983-04,Canada,25300372
1983-07,Canada,25366451
1983-10,Canada,25434150
1984-01,Canada,25482358
1984-04,Canada,25539861
1984-07,Canada,25607053
1984-10,Canada,25677668
1985-01,Canada,25721170
1985-04,Canada,25774717
1985-07,Canada,25842116
1985-10,Canada,25914797
1986-01,Canada,25962414
1986-04,Canada,26019615
1986-07,Canada,26100278
1986-10,Canada,26187639
1987-01,Canada,26256140
1987-04,Canada,26346370
1987-07,Canada,26446601
1987-10,Canada,26542370
1988-01,Canada,26602328
1988-04,Canada,26679165
1988-07,Canada,26791747
1988-10,Canada,26932655
1989-01,Canada,27032356
1989-04,Canada,27147776
1989-07,Canada,27276781
1989-10,Canada,27402695
1990-01,Canada,27463550
1990-04,Canada,27567161
1990-07,Canada,27691138
1990-10,Canada,27807591
1991-01,Canada,27854861
1991-04,Canada,27928837
1991-07,Canada,28037420
1991-10,Canada,28127327
1992-01,Canada,28181477
1992-04,Canada,28269699
1992-07,Canada,28371264
1992-10,Canada,28474177
1993-01,Canada,28533602
1993-04,Canada,28600864
1993-07,Canada,28684764
1993-10,Canada,28786619
1994-01,Canada,28835772
1994-04,Canada,28907448
1994-07,Canada,29000663
1994-10,Canada,29096372
1995-01,Canada,29141902
1995-04,Canada,29211541
1995-07,Canada,29302311
1995-10,Canada,29396274
1996-01,Canada,29446857
1996-04,Canada,29514217
1996-07,Canada,29610218
1996-10,Canada,29708206
1997-01,Canada,29751536
1997-04,Canada,29818012
1997-07,Canada,29905948
1997-10,Canada,29994790
1998-01,Canada,30028506
1998-04,Canada,30080180
1998-07,Canada,30155173
1998-10,Canada,30231639
1999-01,Canada,30260117
1999-04,Canada,30314696
1999-07,Canada,30401286
1999-10,Canada,30492106
2000-01,Canada,30525872
2000-04,Canada,30594030
2000-07,Canada,30685730
2000-10,Canada,30783969
2001-01,Canada,30824441
2001-04,Canada,30910996
2001-07,Canada,31020855
2001-10,Canada,31128873
2002-01,Canada,31168896
2002-04,Canada,31252682
2002-07,Canada,31359199
2002-10,Canada,31450677
2003-01,Canada,31479415
2003-04,Canada,31549344
2003-07,Canada,31642461
2003-10,Canada,31736141
2004-01,Canada,31775723
2004-04,Canada,31844704
2004-07,Canada,31938807
2004-10,Canada,32038207
2005-01,Canada,32075011
2005-04,Canada,32140569
2005-07,Canada,32242732
